case,frame,event_score,contact_score,pre_strength,post_strength,causal_weight,causal_event_score
Cosmos3_seed101_0004,30,0.0038259149405002,5.971486128680746,0.8562896914237315,1.2347507651987693,0.3065080698404049,0.0011726738037862838
Cosmos3_seed101_0004,59,0.2136088335662172,50.168826957801535,0.56523378226878,0.7655931900490542,0.0,0.0
Cosmos3_seed101_0004,75,0.2136088335662172,50.06886852643202,0.7231453884147941,1.7953122411516402,0.5972035549922405,0.12756795478349076
Cosmos3_seed101_0004,111,0.0717200326330407,49.88912669543086,1.2325829829213826,4.702305719915522,0.737876893520329,0.0529205548824447
Cosmos3_seed101_0004,118,0.6551218700999727,50.419479086137095,3.944298504974563,41.68257206818128,0.9053729578270081,0.5931296252695732
Cosmos3_seed101_0004,123,0.2742752841191843,50.31534350548717,4.702305719915522,41.68257206818128,0.8871877265101626,0.243333665755628
Cosmos3_seed101_0004,135,2.517788850975641,52.34187333923214,41.68257206818128,50.9186792525093,0.18138937065758357,0.45670013512715196
Cosmos3_seed101_0004,146,4.37004719382625,53.08752168259577,50.9186792525093,45.255170401190746,0.0,0.0
Cosmos3_seed101_0004,147,1.80224209720974,50.40282413798143,50.9186792525093,45.255170401190746,0.0,0.0
Cosmos3_seed101_0004,159,9.44331704862626,52.36908617530275,45.255170401190746,22.07828186287531,0.0,0.0
Cosmos3_seed101_0006,30,0.0157816522475502,3.7988223366727913,0.47349680717040005,0.618080025934766,0.0,0.0
Cosmos3_seed101_0006,56,14.9862158756494,51.45042980520714,0.4310445309550915,0.6265675892361908,0.0,0.0
Cosmos3_seed101_0006,60,35.078548200844764,57.37188641288029,0.5034673951537716,0.5509167370747144,0.0,0.0
Cosmos3_seed101_0006,68,0.4521884485093702,49.87637085706952,0.6265675892361908,0.41099746082717487,0.0,0.0
Cosmos3_seed101_0006,80,0.1304805653420417,49.765282767764944,0.41099746082717487,0.4495399577433591,0.0,0.0
Cosmos3_seed101_0006,89,24.2382233844501,57.36179821948392,0.4495399577433591,5.941853709113523,0.9243434827326931,22.40444381843561
Cosmos3_seed101_0006,92,7.1521097008911125,53.786051325104346,0.4495399577433591,11.731223064996186,0.961680043482874,6.8780411681472495
Cosmos3_seed101_0006,104,16.037524103369776,74.97910248944534,11.731223064996186,13.334030376144407,0.12020426427224618,1.9277787855939785
Cosmos3_seed101_0006,116,16.037524103369776,61.10854098364775,13.334030376144407,4.669746045735704,0.0,0.0
Cosmos3_seed101_0006,117,8.465394091961922,53.77524013789768,13.334030376144407,6.966888469612466,0.0,0.0
Cosmos3_seed101_0006,145,2.116319417570228,50.27205780464728,59.1946016706852,50.29237648125037,0.0,0.0
Cosmos3_seed101_0014,33,0.0012954371380671,1.1576813033858029,0.8148372227297592,0.6069018536814156,0.0,0.0
Cosmos3_seed101_0014,60,7.582335675583208,54.76946387180944,1.0958972776420428,0.9452404597478382,0.0,0.0
Cosmos3_seed101_0014,65,0.2503238176280951,50.458842990153855,1.0958972776420428,2.33171930908595,0.5300046307582185,0.13267278253196615
Cosmos3_seed101_0014,72,11.350433822458124,65.9663039918063,0.9452404597478382,14.33970327754915,0.9340822859823225,10.602239171772755
Cosmos3_seed101_0014,84,15.119374405174518,55.95750813550793,8.6416295252468,28.25801377492885,0.6941883603682772,10.495693728122196
Cosmos3_seed101_0014,96,8.465394091961922,57.33911991172902,28.25801377492885,19.0394690221944,0.0,0.0
Cosmos3_seed101_0014,108,20.475462928800894,68.89336840896372,19.0394690221944,10.593964847163601,0.0,0.0
Cosmos3_seed101_0014,123,9.44331704862626,68.87615458204121,10.593964847163601,1.6372212050949333,0.0,0.0
Cosmos3_seed101_0014,154,19.371400165658493,71.88469574955126,3.4897755966340362,5.3140280593138725,0.3432899567555872,6.650007125164079
Cosmos3_seed101_0014,158,12.16895087759879,65.98929904432227,3.4897755966340362,5.3140280593138725,0.3432899567555872,4.177478620531754
Cosmos3_seed101_0015,33,0.0003587800017304,0.0038073503993827,0.4354515499072062,0.19514468003617835,0.0,0.0
