case,gt,label,future_pair_score_36,causal_best_frame,causal_pre_strength,causal_post_strength,causal_weight,causal_event_score
Cosmos3_seed101_0004,CONTACT,1.0,9.44331704862626,118,3.944298504974563,41.68257206818128,0.9053729578270081,0.5931296252695732
Cosmos3_seed101_0006,CONTACT,1.0,35.078548200844764,89,0.4495399577433591,5.941853709113523,0.9243434827326931,22.40444381843561
Cosmos3_seed101_0014,UNRESOLVED,,20.47546292880089,72,0.9452404597478382,14.33970327754915,0.9340822859823225,10.602239171772755
Cosmos3_seed101_0015,CONTACT,1.0,9.709080005723868,122,0.9283544725937384,2.016477882492037,0.5396158417336846,5.239173379748372
Cosmos3_seed101_0022,CONTACT,1.0,88.68286675858208,127,6.79886231277965,35.7385377685809,0.8097610384396647,71.46368148381683
Cosmos3_seed101_0023,NO_CONTACT,0.0,1.6154021134729093,126,2.8203146576811804,30.81892281593261,0.9084875654309648,0.5892877959661008
Cosmos3_seed101_0025,NO_CONTACT,0.0,8.306510661445541,158,1.3177971913218551,1.686023137121307,0.2183991059744031,1.3965885120647954
Cosmos3_seed101_0029,CONTACT,1.0,79.20742406767062,128,0.5266822321737122,1.5660734714926368,0.6636925139458959,45.81564135151776
Cosmos3_seed101_0034,CONTACT,1.0,7.582335675583208,139,16.67612008701245,17.80052104725555,0.06316674423507725,0.042384005297035364
Cosmos3_seed101_0040,UNRESOLVED,,,33,0.30497646772675,0.32170086650409996,0.0,0.0
Cosmos3_seed101_0042,CONTACT,1.0,24.89084369821776,33,0.3528111907174741,0.2306581368223219,0.0,0.0
Cosmos3_seed102_0014,NO_CONTACT,0.0,14.9862158756494,178,3.5765220874912,24.5551185506522,0.854347187120536,12.803431378942186
Cosmos3_seed102_0015,CONTACT,1.0,39.52572902164562,163,0.6950651720748451,3.1407580255091485,0.778695090029367,6.193662375349231
Cosmos3_seed102_0019,CONTACT,1.0,28.76379731246848,94,0.3672245024552739,2.8479453510193795,0.8710563380986818,9.024848261904935
Cosmos3_seed102_0022,NO_CONTACT,0.0,0.3704255956342378,178,16.141344768182122,19.098749425270153,0.1548480788577181,0.10144436300265632
Cosmos3_seed102_0025,CONTACT,1.0,18.498285700377256,107,0.8674972870294447,17.778709330998286,0.9512058344124616,5.117927863157602
Cosmos3_seed102_0027,UNRESOLVED,,0.3973747273619233,20,0.81399706443705,0.3692759047904,0.0,0.0
Cosmos3_seed102_0029,NO_CONTACT,0.0,20.47546292880089,111,5.169151597908338,7.3433913975964025,0.29608115405638386,6.062398693798074
Cosmos3_seed102_0036,NO_CONTACT,0.0,11.350433822458124,91,1.017704748219084,4.549895446020772,0.7763234869255855,3.590505245006761
Cosmos3_seed102_0042,CONTACT,1.0,,29,0.3269969173747039,0.21252965214295205,0.0,0.0
Cosmos3_seed103_0003,UNRESOLVED,,76.91867903338876,89,24.115752000140375,83.69684463631306,0.711867847528419,32.345572410425504
Cosmos3_seed103_0004,CONTACT,1.0,50.0,87,44.62425307792441,55.0865498600444,0.18992470591643548,5.6565767385204655
Cosmos3_seed103_0011,CONTACT,1.0,18.498285700377256,51,1.104781394416409,4.507109920703398,0.7548803082566062,1.9006292239495384
Cosmos3_seed103_0022,CONTACT,1.0,50.0,141,2.5205818576059458,10.274606477250948,0.7546785014893975,37.73392507446987
Cosmos3_seed103_0026,UNRESOLVED,,53.980120098499896,127,0.40388414142485596,1.525620747423589,0.73526569948205,19.70171926450812
Cosmos3_seed103_0028,CONTACT,1.0,11.895254149238758,149,1.0798360584686404,2.0224730369897506,0.46608135746725765,5.5441562012952295
Cosmos3_seed103_0035,CONTACT,1.0,21.76810433975689,140,3.374603691116885,7.15689098853838,0.5284818929726265,11.504048987900367
Cosmos3_seed103_0036,CONTACT,1.0,,33,0.33477105692116327,0.7524051112358296,0.0,0.0
Cosmos3_seed103_0037,CONTACT,1.0,44.48017873814519,129,0.8904030993451899,1.9560227314980305,0.5447889817398646,24.232311282361295
Cosmos3_seed101_0035,NO_CONTACT,0.0,0.2742752841191843,96,1.3863683726250253,5.313901441239072,0.7391053658116479,0.10804898692790697
Cosmos3_seed102_0018,CONTACT,1.0,26.334513949546416,164,1.1088428113868254,9.838864824477678,0.887299720936486,4.2131186643822645
Cosmos3_seed102_0020,CONTACT,1.0,66.06668033739192,96,1.74855924215975,16.627743229773,0.8948408561524545,35.18615297552395
Cosmos3_seed103_0008,CONTACT,1.0,58.96228401776607,86,48.12575216054885,78.15068826570474,0.38419285576953627,22.652888279480035
Cosmos3_seed103_0023,CONTACT,1.0,8.540654847719477,143,1.124766189571434,7.273971342315034,0.8453710996868647,7.220022780662567
Cosmos2.5_0006,NO_CONTACT,0.0,89.45901922372185,7,1.470925293825616,0.8728163599459152,0.0,0.0
Cosmos2.5_0013,UNRESOLVED,,7.582335675583208,76,4.9517218131760865,35.947011562695174,0.8622494166298139,6.537864512963047
Cosmos2.5_0024,NO_CONTACT,0.0,1.7682038629078571,32,0.44470211368989104,1.0312497339075302,0.5687735966681312,1.005707670748585
Cosmos2.5_0028,NO_CONTACT,0.0,8.465394091961922,79,1.415338728922158,5.503394833109211,0.7428244253152114,0.33589662439815
